Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
137,6,6632,3,2,1,3,32.0,39.0,2020-04-29 09:15:00
138,6,6633,3,1,1,3,12.0,17.0,2020-04-29 09:15:00
139,6,6634,3,2,0,3,27.0,23.0,2020-04-29 09:15:00
140,6,6635,7,0,0,7,54.0,72.0,2020-04-29 09:15:00
141,6,6636,2,2,2,2,23.0,16.0,2020-04-29 09:15:00
142,7,7111,5,8,6,4,44.0,59.0,2020-04-29 09:15:00
143,7,7131,2,1,0,2,14.0,14.0,2020-04-29 09:15:00
144,7,7132,2,3,3,2,11.0,10.0,2020-04-29 09:15:00
145,7,7133,4,0,0,4,28.0,20.0,2020-04-29 09:15:00
146,7,7134,2,0,0,2,16.0,11.0,2020-04-29 09:15:00
147,7,7135,2,0,0,2,14.0,2.0,2020-04-29 09:15:00
148,7,7137,4,1,0,4,32.0,12.0,2020-04-29 09:15:00
149,7,7138,5,1,1,5,39.0,36.0,2020-04-29 09:15:00
150,7,7140,2,0,0,2,6.0,9.0,2020-04-29 09:15:00
151,7,7141,5,4,2,5,19.0,27.0,2020-04-29 09:15:00
152,7,7143,4,2,0,4,20.0,19.0,2020-04-29 09:15:00
153,7,7211,4,1,1,3,57.0,70.0,2020-04-29 09:15:00
154,7,7231,2,2,2,2,9.0,16.0,2020-04-29 09:15:00
155,7,7232,2,0,0,2,5.0,15.0,2020-04-29 09:15:00
156,7,7233,2,5,5,2,14.0,5.0,2020-04-29 09:15:00
157,7,7235,2,0,0,2,13.0,5.0,2020-04-29 09:15:00
158,7,7311,1,3,1,1,6.0,16.0,2020-04-29 09:15:00
159,7,7312,1,9,4,1,58.0,93.0,2020-04-29 09:15:00
160,7,7313,2,6,1,2,13.0,9.0,2020-04-29 09:15:00
161,7,7314,4,6,4,4,51.0,72.0,2020-04-29 09:15:00
162,7,7315,2,8,3,2,45.0,100.0,2020-04-29 09:15:00
163,7,7316,1,0,0,1,9.0,12.0,2020-04-29 09:15:00
164,7,7317,1,0,0,1,10.0,6.0,2020-04-29 09:15:00
165,7,7318,3,5,5,2,8.0,24.0,2020-04-29 09:15:00
166,7,7319,1,1,0,1,2.0,28.0,2020-04-29 09:15:00
167,7,7320,1,1,1,1,10.0,5.0,2020-04-29 09:15:00
168,7,7331,1,2,0,1,3.0,4.0,2020-04-29 09:15:00
169,7,7332,2,4,3,2,6.0,9.0,2020-04-29 09:15:00
170,7,7333,2,0,0,2,6.0,6.0,2020-04-29 09:15:00
171,7,7334,2,1,1,2,19.0,10.0,2020-04-29 09:15:00
172,7,7335,1,0,0,1,8.0,8.0,2020-04-29 09:15:00
173,7,7336,1,0,0,1,5.0,11.0,2020-04-29 09:15:00
174,7,7337,2,0,0,2,9.0,8.0,2020-04-29 09:15:00
175,7,7339,2,10,10,2,13.0,14.0,2020-04-29 09:15:00
176,7,7340,1,0,0,1,9.0,0.0,2020-04-29 09:15:00
177,8,8111,11,24,16,10,238.0,289.0,2020-04-29 09:15:00
178,8,8115,4,9,9,4,21.0,42.0,2020-04-29 09:15:00
179,8,8116,6,22,17,4,33.0,66.0,2020-04-29 09:15:00
180,8,8117,4,4,4,3,40.0,38.0,2020-04-29 09:15:00
181,8,8118,5,31,22,4,142.0,103.0,2020-04-29 09:15:00
182,8,8119,2,7,3,2,64.0,44.0,2020-04-29 09:15:00
183,8,8121,1,19,12,1,68.0,41.0,2020-04-29 09:15:00
